No;Id;Time;e;Denpenden;treat_date;Treatment_Status;ever_treat;rel_time;beta
1;1;1;13.10241777;-17.22469157;25;0;1;-24;0
2;1;2;-56.51919711;-89.98379869;25;0;1;-23;0
3;1;3;-0.491992952;-77.87992219;25;0;1;-22;0
4;1;4;4.57849734;-12.81902801;25;0;1;-21;0
5;1;5;-9.033787043;-46.68094531;25;0;1;-20;0
6;1;6;-12.1120998;-48.82721017;25;0;1;-19;0
7;1;7;-16.65782367;2.550658604;25;0;1;-18;0
8;1;8;-4.361731974;2.262289919;25;0;1;-17;0
9;1;9;-25.27399168;-55.81512448;25;0;1;-16;0
10;1;10;18.49240141;-49.66259715;25;0;1;-15;0
11;1;11;-10.05740767;-26.85361962;25;0;1;-14;0
12;1;12;-25.06950812;-55.47323804;25;0;1;-13;0
13;1;13;-4.44298019;-39.41435525;25;0;1;-12;0
14;1;14;-12.1974891;-46.97465359;25;0;1;-11;0
15;1;15;23.19768476;-66.80638214;25;0;1;-10;0
16;1;16;-19.36063062;-68.47663354;25;0;1;-9;0
17;1;17;10.57177812;-32.08431596;25;0;1;-8;0
18;1;18;-15.17408472;-52.97732109;25;0;1;-7;0
19;1;19;5.234374418;-65.32766021;25;0;1;-6;0
20;1;20;-19.43342975;-79.6191933;25;0;1;-5;0
21;1;21;-17.551253;-105.6463512;25;0;1;-4;0
22;1;22;17.0867293;-67.50501956;25;0;1;-3;0
23;1;23;-21.44218932;-100.2383151;25;0;1;-2;0
24;1;24;9.194020909;-54.74788833;25;0;1;-1;0
25;1;25;-35.74230074;-53.53735841;25;1;1;0;2.5968
26;1;26;-12.80812056;-101.473775;25;0;1;1;6.3872
27;1;27;-6.702759329;-23.17099215;25;0;1;2;11.3712
28;1;28;-4.980803059;-12.24357315;25;0;1;3;17.5488
29;1;29;21.41435644;-2.340232488;25;0;1;4;24.92
30;1;30;-4.169734053;23.03656876;25;0;1;5;33.4848
31;1;31;-9.391789139;-4.336713059;25;0;1;6;43.2432
32;1;32;-28.37442183;-29.17271645;25;0;1;7;54.1952
33;1;33;15.23286885;7.309153722;25;0;1;8;66.3408
34;1;34;14.14638292;41.85087537;25;0;1;9;79.68
35;1;35;-18.40121469;27.58233389;25;0;1;10;94.2128
36;1;36;-26.46379742;75.88413965;25;0;1;11;109.9392
37;1;37;-32.94660685;96.68816944;25;0;1;12;126.8592
38;1;38;-5.109744657;121.637877;25;0;1;13;144.9728
39;1;39;-15.03472344;150.2847708;25;0;1;14;164.28
40;1;40;16.5150654;187.5071209;25;0;1;15;184.7808
41;1;41;-4.117245703;228.8002349;25;0;1;16;206.4752
42;1;42;43.98827578;220.6816383;25;0;1;17;229.3632
43;1;43;40.3011686;270.3816244;25;0;1;18;253.4448
44;1;44;20.0799651;309.4396582;25;0;1;19;278.72
45;1;45;31.63088077;320.7749082;25;0;1;20;305.1888
46;1;46;12.77436974;273.6573094;25;0;1;21;305.1888
47;1;47;-77.19050248;169.3499622;25;0;1;22;305.1888
48;1;48;11.85572802;216.6874347;25;0;1;23;305.1888
49;1;49;15.64734984;300.7887083;25;0;1;24;305.1888
50;1;50;24.52941598;285.552371;25;0;1;25;305.1888
51;2;1;-1.19274651;-6.420120973;11;0;1;-10;0
52;2;2;-37.99037081;-35.55066692;11;0;1;-9;0
53;2;3;19.87341095;11.21377776;11;0;1;-8;0
